"","Year","Geo","State","Region","Commodity","Info on Commodity","Measurement","Info on Measurement","Label","Type","Name","ID","Value"
"1",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","AZOXYSTROBIN "," 128810","4700"
"2",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","BOSCALID "," 128008","500"
"3",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","CHLOROTHALONIL "," 81901","2900"
"4",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","COPPER HYDROXIDE "," 23401","100"
"5",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","FENAMIDONE "," 46679","1400"
"6",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","MANCOZEB "," 14504","6500"
"7",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","MANDIPROPAMIDE TECHN "," 36602","600"
"8",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","PENTHIOPYRAD "," 90112","700"
"9",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","PYRACLOSTROBIN "," 99100","1300"
"10",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," FUNGICIDE","SULFUR "," 77501","10400"
"11",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," HERBICIDE","BENSULIDE "," 9801","33500"
"12",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," HERBICIDE","CLETHODIM "," 121011","1300"
"13",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," HERBICIDE","DCPA "," 78701","78000"
"14",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," HERBICIDE","NAPROPAMIDE "," 103001","4500"
"15",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," HERBICIDE","OXYFLUORFEN "," 111601","11500"
"16",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," HERBICIDE","TRIFLURALIN "," 36101","4500"
"17",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","ACETAMIPRID "," 99050","100"
"18",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","BETA-CYFLUTHRIN "," 118831","200"
"19",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","BIFENTHRIN "," 128825","1700"
"20",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","BUPROFEZIN "," 275100","1800"
"21",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","CHLORANTRANILIPROLE "," 90100","1300"
"22",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","CLOTHIANIDIN "," 44309","1500"
"23",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","CYANTRANILIPROLE","90098","600"
"24",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","DIMETHOATE "," 35001","1700"
"25",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI","BROCCOLI "," APPLICATIONS"," MEASURED IN LB","CHEMICAL"," INSECTICIDE","DINOTEFURAN "," 44312","2200"
